topology,fault_type,fault_severity,n_episodes,n_tasks,injection_applied,injection_applied_ci_low,injection_applied_ci_high,injection_consumed,injection_consumed_ci_low,injection_consumed_ci_high
hierarchical,referential_drift,1.0,360,60,0.9805555555555555,0.9666666666666667,0.9916666666666667,0.9666666666666667,0.95,0.9833333333333333
hierarchical,referential_drift,2.0,360,60,0.9638888888888889,0.9416666666666667,0.9833333333333333,0.9472222222222222,0.9222222222222223,0.9694444444444446
hierarchical,timeout,1.0,360,60,0.9861111111111112,0.975,0.9972222222222221,0.9722222222222222,0.9527777777777778,0.9888888888888889
hierarchical,timeout,2.0,360,60,0.9472222222222222,0.9222222222222223,0.9694444444444446,0.9138888888888889,0.8833333333333333,0.9416666666666667
hierarchical,truncation,1.0,360,60,0.975,0.9583333333333333,0.9888888888888889,0.9388888888888889,0.9166666666666666,0.9611111111111111
hierarchical,truncation,2.0,360,60,0.9694444444444444,0.9527777777777778,0.9833333333333335,0.9472222222222222,0.925,0.9694444444444446
hierarchical,wrong_value,1.0,360,60,0.9777777777777777,0.961111111111111,0.9916666666666667,0.9694444444444444,0.9500000000000001,0.9861111111111112
hierarchical,wrong_value,2.0,360,60,0.9722222222222222,0.9527777777777778,0.9861111111111112,0.9555555555555556,0.9333333333333333,0.9750000000000001
parallel,referential_drift,1.0,360,60,0.9611111111111111,0.9416666666666668,0.9777777777777779,0.9361111111111111,0.9111111111111112,0.9583333333333334
parallel,referential_drift,2.0,360,60,0.9666666666666667,0.95,0.9833333333333333,0.9527777777777777,0.9305555555555557,0.9722222222222222
parallel,timeout,1.0,360,60,0.9555555555555556,0.9333333333333333,0.9777777777777777,0.95,0.925,0.9722222222222222
parallel,timeout,2.0,360,60,0.9611111111111111,0.9388888888888889,0.9805555555555555,0.95,0.9277777777777778,0.9695138888888886
parallel,truncation,1.0,360,60,0.9555555555555556,0.9361111111111111,0.975,0.9361111111111111,0.9083333333333334,0.961111111111111
parallel,truncation,2.0,360,60,0.9861111111111112,0.9722222222222224,0.9972222222222222,0.9527777777777777,0.9332638888888888,0.9722222222222222
parallel,wrong_value,1.0,360,60,0.9638888888888889,0.9416666666666667,0.9833333333333333,0.95,0.925,0.9722222222222222
parallel,wrong_value,2.0,360,60,0.9694444444444444,0.9472222222222222,0.9861111111111112,0.9555555555555556,0.9305555555555555,0.9777777777777779
sequential,referential_drift,1.0,360,60,0.975,0.9583333333333334,0.9916666666666667,0.9555555555555556,0.9305555555555556,0.9777777777777779
sequential,referential_drift,2.0,360,60,0.9555555555555556,0.9333333333333335,0.975,0.9333333333333333,0.9083333333333334,0.9555555555555556
sequential,timeout,1.0,360,60,0.9805555555555555,0.9666666666666667,0.9944444444444444,0.9666666666666667,0.9472222222222224,0.9833333333333333
sequential,timeout,2.0,360,60,0.9583333333333334,0.9361111111111112,0.9777777777777777,0.9416666666666667,0.9138888888888891,0.9666666666666667
sequential,truncation,1.0,360,60,0.975,0.9583333333333335,0.9888888888888889,0.9527777777777777,0.9305555555555556,0.9722222222222222
sequential,truncation,2.0,360,60,0.9833333333333333,0.9694444444444446,0.9944444444444446,0.9694444444444444,0.9500000000000001,0.9861111111111112
sequential,wrong_value,1.0,360,60,0.9722222222222222,0.9472222222222223,0.9916666666666667,0.9361111111111111,0.9055555555555556,0.9611111111111111
sequential,wrong_value,2.0,360,60,0.9611111111111111,0.9361111111111111,0.9805555555555556,0.9305555555555556,0.9000000000000001,0.9555555555555557
single,referential_drift,1.0,360,60,0.9583333333333334,0.9388888888888889,0.9750000000000001,0.9472222222222222,0.9250000000000002,0.9666666666666668
single,referential_drift,2.0,360,60,0.975,0.9583333333333335,0.9888888888888889,0.9611111111111111,0.9416666666666667,0.9805555555555555
single,timeout,1.0,360,60,0.9611111111111111,0.9416666666666667,0.9777777777777779,0.9555555555555556,0.9333333333333333,0.9750000000000001
single,timeout,2.0,360,60,0.9638888888888889,0.9444444444444445,0.9805555555555556,0.9583333333333334,0.9388888888888888,0.9777777777777777
single,truncation,1.0,360,60,0.975,0.9583333333333334,0.9888888888888889,0.9472222222222222,0.9194444444444446,0.9694444444444446
single,truncation,2.0,360,60,0.9694444444444444,0.9499305555555554,0.9861111111111112,0.9416666666666667,0.9111111111111111,0.9666666666666668
single,wrong_value,1.0,360,60,0.9527777777777777,0.9332638888888889,0.9722222222222222,0.9361111111111111,0.9083333333333334,0.9583333333333335
single,wrong_value,2.0,360,60,0.9805555555555555,0.9666666666666667,0.9916666666666668,0.9611111111111111,0.9416666666666667,0.9805555555555555
