topology,condition,n_episodes,n_tasks,task_success,task_success_ci_low,task_success_ci_high,epr,epr_ci_low,epr_ci_high,daf,daf_ci_low,daf_ci_high,detected,detected_ci_low,detected_ci_high,recovered,recovered_ci_low,recovered_ci_high,work_units,work_units_ci_low,work_units_ci_high,latency_ms,latency_ms_ci_low,latency_ms_ci_high
hierarchical,verify=both;recovery=retry,115,60,0.9565217391304348,0.9166666666666666,0.9916666666666667,0.02608695652173913,0.004166666666666667,0.05,0.008695652173913044,0.0,0.025,0.9826086956521739,0.9583333333333334,1.0,0.9478260869565217,0.9083333333333333,0.9833333333333333,9.483478260869564,9.376250000000004,9.570262500000004,47.742492491699515,46.56671452498708,48.90968361350949
hierarchical,verify=final;recovery=retry,113,59,0.6194690265486725,0.5338983050847458,0.6949152542372882,0.6814159292035398,0.635593220338983,0.7288135593220338,0.3805309734513274,0.2966101694915254,0.4576271186440678,0.6460176991150443,0.5677966101694916,0.711864406779661,0.5486725663716814,0.4745762711864407,0.6271186440677966,8.923451327433627,8.864055084745763,8.982815677966103,43.79779484239453,42.71352983483186,44.59929433472097
hierarchical,verify=local;recovery=retry,110,60,0.9818181818181818,0.9583333333333334,1.0,0.01818181818181818,0.004166666666666667,0.04583333333333333,0.0,0.0,0.0,0.990909090909091,0.975,1.0,0.9727272727272728,0.925,1.0,9.487818181818179,9.376000000000003,9.58775625,45.88099997120298,44.11297385780323,47.26571739875254
hierarchical,verify=none;recovery=none,113,59,0.04424778761061947,0.00847457627118644,0.0847457627118644,0.9557522123893806,0.9194915254237288,0.9872881355932204,0.9469026548672567,0.9067796610169492,0.9830508474576272,0.0,0.0,0.0,0.0,0.0,0.0,8.43575221238938,8.413559322033898,8.462372881355932,38.205226351978595,37.49448852981547,38.90042679337305
parallel,verify=both;recovery=retry,112,60,0.9107142857142857,0.8664583333333333,0.9666666666666667,0.07142857142857142,0.025,0.10833333333333334,0.07142857142857142,0.025,0.11666666666666667,0.9553571428571429,0.9166666666666666,0.9916666666666667,0.9107142857142857,0.8664583333333333,0.9666666666666667,7.083928571428572,7.01725,7.17475,33.19271851792102,32.39456750851146,34.207994369769416
parallel,verify=final;recovery=retry,116,60,0.6120689655172413,0.525,0.6916666666666667,0.3793103448275862,0.3,0.475,0.3793103448275862,0.2916666666666667,0.4666666666666667,0.646551724137931,0.5666666666666667,0.7333333333333333,0.5775862068965517,0.48333333333333334,0.6666666666666666,6.683879310344829,6.6254937499999995,6.750262499999999,31.27922275795901,30.34989869981877,32.20262753622266
parallel,verify=local;recovery=retry,115,60,0.9130434782608695,0.85,0.9583333333333334,0.06956521739130435,0.025,0.13333333333333333,0.06956521739130435,0.025,0.13333333333333333,0.9652173913043478,0.9333333333333333,0.9916666666666667,0.8956521739130435,0.8333333333333334,0.9416666666666667,7.180347826086957,7.08321875,7.267506249999999,34.253986235143486,33.24163760232532,35.33913946793716
parallel,verify=none;recovery=none,114,60,0.05263157894736842,0.016666666666666666,0.09166666666666666,0.9473684210526315,0.9083333333333333,0.9833333333333333,0.9473684210526315,0.9083333333333333,0.9833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.196842105263159,6.175999999999999,6.223999999999999,25.959557990267,25.500761400244844,26.572754079099653
sequential,verify=both;recovery=retry,115,60,0.9826086956521739,0.9583333333333334,1.0,0.017391304347826084,0.005555555555555555,0.030555555555555555,0.0,0.0,0.0,0.991304347826087,0.975,1.0,0.9739130434782609,0.9416666666666667,1.0,5.939826086956522,5.8869937499999985,6.004999999999998,57.24942995546108,56.375831965192326,58.46182806271596
sequential,verify=final;recovery=retry,114,60,0.5877192982456141,0.48333333333333334,0.6583333333333333,0.783625730994152,0.75,0.8250000000000001,0.41228070175438597,0.3416666666666667,0.5002083333333321,0.6228070175438597,0.5333333333333333,0.7,0.543859649122807,0.4583333333333333,0.6166666666666667,5.546052631578948,5.479499999999999,5.60075625,52.75039019675536,51.284397513227844,54.01633071551749
sequential,verify=local;recovery=retry,117,60,0.9658119658119658,0.9333333333333333,0.9916666666666667,0.028490028490028487,0.01111111111111111,0.047222222222222214,0.0,0.0,0.0,0.9914529914529915,0.975,1.0,0.9572649572649573,0.925,0.9916666666666667,6.100256410256411,6.0114874999999985,6.169262499999999,59.49859512180676,58.11326414960257,60.77521940211201
sequential,verify=none;recovery=none,117,60,0.042735042735042736,0.008333333333333333,0.1,0.9629629629629629,0.9055555555555556,0.9916666666666667,0.9572649572649573,0.9,0.9916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.081025641025643,5.055999999999998,5.103999999999999,46.98729605750983,46.20548228688723,47.854802387498246
