topology,condition,n_episodes,n_tasks,task_success,task_success_ci_low,task_success_ci_high,epr,epr_ci_low,epr_ci_high,daf,daf_ci_low,daf_ci_high,detected,detected_ci_low,detected_ci_high,recovered,recovered_ci_low,recovered_ci_high,work_units,work_units_ci_low,work_units_ci_high,latency_ms,latency_ms_ci_low,latency_ms_ci_high
hierarchical,recovery=isolate,111,60,0.8018018018018018,0.7333333333333333,0.875,0.1891891891891892,0.11666666666666667,0.25833333333333336,0.1891891891891892,0.11666666666666667,0.25,0.9279279279279279,0.875,0.9666666666666667,0.7657657657657657,0.7,0.85,9.065405405405405,8.9925,9.1230125,43.70706933810005,42.863110956381206,44.66319897515349
hierarchical,recovery=none,114,59,0.043859649122807015,0.00847457627118644,0.07627118644067797,0.9298245614035088,0.8898305084745762,0.9745762711864406,0.9298245614035088,0.8813559322033898,0.9745762711864406,0.9385964912280702,0.8813559322033898,0.9745762711864406,0.0,0.0,0.0,8.44315789473684,8.417627118644068,8.466440677966103,38.426720342910635,37.882407020025916,38.99002349693795
hierarchical,recovery=redundant,115,60,0.9391304347826087,0.9,0.975,0.05217391304347826,0.016666666666666666,0.09166666666666666,0.05217391304347826,0.016666666666666666,0.09166666666666666,0.9391304347826087,0.8833333333333333,0.975,0.9304347826086956,0.8833333333333333,0.975,10.611478260869562,10.413316666666667,10.77,59.456598753495705,57.12693776651957,60.837748002178124
hierarchical,recovery=retry,114,60,0.956140350877193,0.9166666666666666,0.9916666666666667,0.043859649122807015,0.008333333333333333,0.0752083333333322,0.043859649122807015,0.008333333333333333,0.08333333333333333,0.9736842105263158,0.9416666666666667,1.0,0.9385964912280702,0.9,0.975,9.466315789473683,9.361493750000001,9.555762499999998,47.7194223549096,46.48487463673156,48.91562850073702
parallel,recovery=isolate,116,60,0.8620689655172413,0.775,0.9166666666666666,0.11206896551724138,0.058333333333333334,0.2,0.11206896551724138,0.058333333333333334,0.19166666666666668,0.9310344827586207,0.875,0.9666666666666667,0.8189655172413793,0.725,0.8833333333333333,6.7606896551724125,6.697993749999999,6.821037499999999,30.416651107043485,29.62816950774001,31.401988140843823
parallel,recovery=none,112,59,0.0625,0.025423728813559324,0.1016949152542373,0.9375,0.8983050847457628,0.9745762711864406,0.9375,0.8983050847457628,0.9745762711864406,0.9553571428571429,0.9152542372881356,0.9915254237288136,0.0,0.0,0.0,6.196785714285715,6.173559322033897,6.222372881355931,25.889013354506805,25.3877538148352,26.36961697560586
parallel,recovery=redundant,116,60,0.9741379310344828,0.9416666666666667,1.0,0.017241379310344827,0.0,0.041666666666666664,0.017241379310344827,0.0,0.041666666666666664,0.9568965517241379,0.925,0.9916666666666667,0.9482758620689655,0.9083333333333333,0.9833333333333333,8.145862068965515,7.976633333333335,8.284,44.644486914454404,43.08620460344023,46.50226313329164
parallel,recovery=retry,115,60,0.8956521739130435,0.8416666666666667,0.95,0.09565217391304348,0.041666666666666664,0.15,0.09565217391304348,0.041666666666666664,0.15,0.9217391304347826,0.8666666666666667,0.975,0.8782608695652174,0.825,0.9416666666666667,7.088000000000002,6.99573125,7.17500625,33.709527161820816,32.71816028852511,34.76917270436757
sequential,recovery=isolate,109,60,0.7889908256880734,0.7333333333333333,0.875,0.1743119266055046,0.1,0.2252083333333322,0.1743119266055046,0.09166666666666666,0.225,0.9174311926605505,0.85,0.9583333333333334,0.7614678899082569,0.6833333333333333,0.8416666666666667,5.665137614678899,5.60074375,5.7215125,54.18182169528049,52.80877971323854,55.13745145226009
sequential,recovery=none,109,59,0.05504587155963303,0.01694915254237288,0.09322033898305085,0.944954128440367,0.9067796610169492,0.9830508474576272,0.944954128440367,0.9067796610169492,0.9830508474576272,0.926605504587156,0.8728813559322034,0.9745762711864406,0.0,0.0,0.0,5.0844036697247725,5.057576271186439,5.1064406779661,47.418867783592596,46.68742103198227,48.65851277334487
sequential,recovery=redundant,114,59,0.9385964912280702,0.8898305084745762,0.9830508474576272,0.043859649122807015,0.00847457627118644,0.0847457627118644,0.043859649122807015,0.00847457627118644,0.09322033898305085,0.9298245614035088,0.8813559322033898,0.9745762711864406,0.9210526315789473,0.8728813559322034,0.9663135593220327,6.8463157894736835,6.698983050847458,7.007474576271186,68.06023448139248,66.03472758116297,70.31810638149547
sequential,recovery=retry,115,59,0.8608695652173913,0.7966101694915254,0.923728813559322,0.1391304347826087,0.07627118644067797,0.2033898305084746,0.1391304347826087,0.07627118644067797,0.2033898305084746,0.9217391304347826,0.8728813559322034,0.9661016949152542,0.8608695652173913,0.8050847457627118,0.923728813559322,5.891043478260871,5.836610169491525,5.962718220338982,56.26438935803389,55.124503521714495,57.52212863702486
single,recovery=isolate,112,60,0.8571428571428571,0.8,0.925,0.14285714285714285,0.075,0.19166666666666668,0.14285714285714285,0.075,0.2,0.9642857142857143,0.9333333333333333,0.9916666666666667,0.8482142857142857,0.7997916666666667,0.9166666666666666,5.607410714285715,5.56425,5.656499999999999,53.458467689251684,52.34965106792372,54.528947789404974
single,recovery=none,111,59,0.04504504504504504,0.00847457627118644,0.09322033898305085,0.954954954954955,0.9152542372881356,0.9915254237288136,0.954954954954955,0.9152542372881356,0.9915254237288136,0.9009009009009009,0.847457627118644,0.9576271186440678,0.0,0.0,0.0,5.082162162162165,5.057627118644066,5.1064406779661,47.044155710154385,46.41042698001293,47.87942687163484
single,recovery=redundant,114,60,0.9473684210526315,0.8916666666666667,0.9833333333333333,0.03508771929824561,0.008333333333333333,0.06666666666666667,0.03508771929824561,0.008333333333333333,0.06666666666666667,0.9473684210526315,0.9083333333333333,0.9833333333333333,0.9298245614035088,0.8666666666666667,0.9666666666666667,6.802105263157895,6.683333333333334,6.916016666666667,67.70969394824067,65.85170433317039,69.39491139452157
single,recovery=retry,112,60,0.9107142857142857,0.85,0.9583333333333334,0.08928571428571429,0.041666666666666664,0.15,0.08928571428571429,0.041666666666666664,0.15,0.9196428571428571,0.8416666666666667,0.9585416666666655,0.9017857142857143,0.8333333333333334,0.95,5.8913392857142854,5.821999999999999,5.962787499999998,56.56298173784712,55.18526527386243,57.980753298859334
